question	greeting	feedback_bug	feedback_feature	feedback_output	explanation	end	lang
Hi	1	0	0	0	0	0	en
Hey	1	0	0	0	0	0	en
Hello	1	0	0	0	0	0	en
Good morning	1	0	0	0	0	0	en
Good evening	1	0	0	0	0	0	en
Good afternoon	1	0	0	0	0	0	en
hi again	1	0	0	0	0	0	en
hi there	1	0	0	0	0	0	en
greetings	1	0	0	0	0	0	en
hello	1	0	0	0	0	0	en
hallo	1	0	0	0	0	0	en
hey	1	0	0	0	0	0	en
hey hey	1	0	0	0	0	0	en
hello there	1	0	0	0	0	0	en
hi	1	0	0	0	0	0	en
hello	1	0	0	0	0	0	en
hola	1	0	0	0	0	0	en
hey bot!	1	0	0	0	0	0	en
hello friend	1	0	0	0	0	0	en
I do not understand the result	0	0	0	0	1	0	en
What do the probabilities mean mean?	0	0	0	0	1	0	en
What is GAN?	0	0	0	0	1	0	en
What is PRO-GAN?	0	0	0	0	1	0	en
What is LDM RINE?	0	0	0	0	1	0	en
What is ProGAN RINE?	0	0	0	0	1	0	en
What is a Dissution model?	0	0	0	0	1	0	en
What is ADM?	0	0	0	0	1	0	en
Why was diffusion model detected?	0	0	0	0	1	0	en
What is the reason behind detecting this method?	0	0	0	0	1	0	en
Can I see the regions?	0	0	1	0	0	0	en
There is an error	0	1	0	0	0	0	en
That is not corrent	0	0	0	1	0	0	en
I get an error	0	1	0	0	0	0	en
There is a bug	0	1	0	0	0	0	en
The classifier is wrong	0	0	0	1	0	0	en
The image is in fact synthetic	0	0	0	1	0	0	en
Server error	0	1	0	0	0	0	en
I would like to see a more detailed explanation of the regions	0	0	1	0	0	0	en
It would be better to cover more recent manipulation slgorithms	0	0	1	0	0	0	en
The output is not correct	0	0	0	1	0	0	en
 um thank you good bye	0	0	0	0	0	1	en
okay cool uh good bye thank you	0	0	0	0	0	1	en
okay thank you good bye	0	0	0	0	0	1	en
and thats all thank you and good bye	0	0	0	0	0	1	en
thank you and good bye	0	0	0	0	0	1	en
sorry about my mistakes thank you good bye	0	0	0	0	0	1	en
thank you goodbye	0	0	0	0	0	1	en
okay thank you goodbye	0	0	0	0	0	1	en
thank you	0	0	0	0	0	1	en
okay thank you	0	0	0	0	0	1	en
thanks goodbye	0	0	0	0	0	1	en
thank you bye	0	0	0	0	0	1	en
Hello. Why does the model decide it was generated using GAN? I am pretty sure this is a real photo. It was taken by Guardian on October 2024.	1	0	0	1	1	0	en
It is hard to interpret the output. How can I see the specific regions that the model takes into account when it says the image is synthetic?	0	0	1	0	1	0	en
I would like to be able to save the output with the prediction so that I can include it into external reports.	0	0	1	0	0	1	en
Input disappears once I change the tab. Is it possible to keep the input when I switch through the tabs?	0	1	1	0	0	0	en
Hello. Does the red region indicate that the image is synthetic or not?	0	0	0	0	1	0	en
Hi. I keep getting at error that the server could not return the result. I am pretty sure this same URL worked yesterday. And there is no explanation interface would provide apart from the rror message.	1	1	0	0	0	0	en
The database of known fakes and topic detection part keep returning an error from time to time. They also take too long to give the output when there is no error. Could you fix that?	0	1	0	0	0	0	en
Why is it not possible to submit the TikTok URLs?	0	0	1	0	1	0	en
This image is a well-known synthetic photo that appeared around 2022. Why is it detected as real? It is obvious it is fake.	0	0	0	1	1	0	en
I submit my link and nothing happens. Please help	0	1	0	0	0	0	en
What does the similar image tab return? I just see the same exact image	0	0	0	0	1	0	en
Is there a way to navigate back after I submitted a new url so that I can see the result of the previous one?	0	0	1	0	1	0	en
Hello. It would be useful to be able to submit one or two links side-by-side so that I could compare the outputs.	1	0	1	0	0	0	en
Is there a way of submitting a file with a list of URLs? It is very very tedious to do it manually one-by-one.	0	0	1	0	1	0	en
"Hey. So, if one method is triggered the image is fake?"	1	0	0	0	1	0	en
Can I see the history of my previous inputs in my profile?	0	0	1	0	1	0	en
Hi. How reliable are these models? Thanks	1	0	0	0	1	1	en
What is only a parth of the image is synthetic?	0	0	0	0	1	0	en
The plugin is very slow	0	1	0	0	0	0	en
Can I see the model confidence??	0	0	1	0	1	0	en
Is my data stored somewhere?	0	0	0	0	1	0	en
"Hi, could you please unblock my account?"	0	1	0	0	0	0	en
"The image is correct, but I do not get an output. Why?"	0	1	0	0	1	0	en
Which models weree trained to get the result?	0	0	0	0	1	0	en
